Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2015-16,96.1,,,,,NaN
"Varicella, unknown disease history",1 Dose,States,Utah,2015-16,NA,50114,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,Vermont,2015-16,NA,6366,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,Virginia,2015-16,NA,100074,4.3,†.§,,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Washington,2015-16,NA,86492,97.3,§,,Census
"Varicella, unknown disease history",1 Dose,States,West Virginia,2015-16,NA,21333,87.6,,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Wisconsin,2015-16,NA,70220,2,‡.§,,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Wyoming,2015-16,NA,7825,74,§.¶,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Alabama,2016-17,93.8,58394,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,Arizona,2016-17,96.7,83627,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,California,2016-17,98.5,575305,97.8,‡,,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2016-17,95.3,16325,6.7,,,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Maine,2016-17,96.7,13834,90.1,,,Voluntary response (public). census (private)
"Varicella, unknown disease history",1 Dose,States,New Jersey,2016-17,96.5,109577,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2016-17,NA,52184,0,‡.¶,,Census
"Varicella, unknown disease history",1 Dose,States,Oregon,2016-17,95.0,45705,100,*.‡,,Census
"Varicella, unknown disease history",1 Dose,National,United States,2016-17,97.5,,,,,NaN
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2016-17,96.5,,,,,NaN
"Varicella, unknown disease history",1 Dose,States,Wyoming,2016-17,NA,,,,,Not conducted
"Varicella, unknown disease history",1 Dose,States,Alabama,2017-18,92.7,57245,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,Arizona,2017-18,96.2,81710,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,California,2017-18,98.2,574702,100,‡,,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2017-18,96.2,16325,6.6,,,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Maine,2017-18,96.5,13255,95.9,,,Census 
"Varicella, unknown disease history",1 Dose,States,New Jersey,2017-18,96.1,107630,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2017-18,96.8,53898,92.1,§,,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Oregon,2017-18,94.4,45818,100,*.‡,,Census
"Varicella, unknown disease history",1 Dose,National,United States,2017-18,97.1,,,,,NaN
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2017-18,96.2,,,,,NaN
"Varicella, unknown disease history",1 Dose,States,Wyoming,2017-18,NA,,,,,Not conducted 
"Varicella, unknown disease history",1 Dose,States,Alabama,2018-19,90.6,77739,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,Arizona,2018-19,95.6,79981,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,California,2018-19,97.9,568947,97.7,‡,,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2018-19,94.0,16051,6.7,,,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Maine,2018-19,95.9,13419,95.9,,,Census
"Varicella, unknown disease history",1 Dose,States,New Jersey,2018-19,95.0,109161,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2018-19,95.8,54806,92.1,§,,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Oregon,2018-19,94.3,45870,100,*.‡,,Census
"Varicella, unknown disease history",1 Dose,National,United States,2018-19,96.4,,,,,NaN
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2018-19,95.3,,,,,NaN
"Varicella, unknown disease history",1 Dose,States,Alabama,2019-20,86.6,59477,94.9,≥,,Census
"Varicella, unknown disease history",1 Dose,States,Alaska,2019-20,NReq,10381,82.7,§,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Arizona,2019-20,95.3,83976,98.7,,,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Arkansas,2019-20,NReq,39510,96.2,‡,,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,California,2019-20,NReq,566155,97.9,‡,,Census
"Varicella, unknown disease history",1 Dose,States,Colorado,2019-20,NReq,69088,98.2,,,Census
"Varicella, unknown disease history",1 Dose,States,Connecticut,2019-20,NReq,38888,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,Delaware,2019-20,NReq,,,,,Not Conducted
"Varicella, unknown disease history",1 Dose,States,District of Columbia,2019-20,NReq,,,,,Not Conducted
"Varicella, unknown disease history",1 Dose,States,Florida,2019-20,NReq,228298,100,≥.*.§,,Census
"Varicella, unknown disease history",1 Dose,States,Georgia,2019-20,NReq,130102,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,Hawaii,2019-20,91.8,15695,8.9,,,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Idaho,2019-20,NReq,23301,98.5,,,Census
"Varicella, unknown disease history",1 Dose,States,Illinois,2019-20,NReq,145891,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,Indiana,2019-20,NReq,88253,65.7,,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Iowa,2019-20,NReq,40812,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,Kansas,2019-20,NReq,37865,34.3,†.‡.§,,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Kentucky,2019-20,NReq,59233,92.9,‡.§,,Census
"Varicella, unknown disease history",1 Dose,States,Louisiana,2019-20,NReq,59685,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,Maine,2019-20,96.2,13450,99.6,,,Census 
"Varicella, unknown disease history",1 Dose,States,Maryland,2019-20,NReq,72443,98.3,‡,,Census (public). voluntary response (private)
"Varicella, unknown disease history",1 Dose,States,Massachusetts,2019-20,NReq,66756,100,*.‡,,Census
"Varicella, unknown disease history",1 Dose,States,Michigan,2019-20,NReq,120565,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,Minnesota,2019-20,NReq,71223,98.7,§,,Census
"Varicella, unknown disease history",1 Dose,States,Mississippi,2019-20,NReq,37870,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,Missouri,2019-20,NReq,72324,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,Montana,2019-20,NReq,12501,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,Nebraska,2019-20,NReq,26893,96.7,‡.‡‡,,Census
"Varicella, unknown disease history",1 Dose,States,Nevada,2019-20,NReq,37724,99.9,,,Census
"Varicella, unknown disease history",1 Dose,States,New Hampshire,2019-20,NReq,12447,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,New Jersey,2019-20,95.9,107900,100,≥.*,,Census
"Varicella, unknown disease history",1 Dose,States,New Mexico,2019-20,NReq,23087,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,New York,2019-20,NReq,234165,99.9,,,Census
"Varicella, unknown disease history",1 Dose,States,North Carolina,2019-20,NReq,124548,97.8,‡.§,,Census
"Varicella, unknown disease history",1 Dose,States,North Dakota,2019-20,NReq,10587,99.5,,,Census
"Varicella, unknown disease history",1 Dose,States,Ohio,2019-20,NReq,139103,98.8,,,Census
"Varicella, unknown disease history",1 Dose,States,Oklahoma,2019-20,96.9,55348,85.6,§,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Oregon,2019-20,94.6,45959,100,*.‡,,Census
"Varicella, unknown disease history",1 Dose,States,Pennsylvania,2019-20,NReq,140197,98.8,,,Census
"Varicella, unknown disease history",1 Dose,National,United States,2019-20,94.1,,,,,NaN
"Varicella, unknown disease history",1 Dose,States,Rhode Island,2019-20,NReq,11219,98.5,*.‡.§,,Census
"Varicella, unknown disease history",1 Dose,States,South Carolina,2019-20,NReq,65938,27.5,†,,Stratified 1-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,South Dakota,2019-20,NReq,12367,99.8,,,Census
"Varicella, unknown disease history",1 Dose,States,Tennessee,2019-20,NReq,80595,100,*.§,,Census
"Varicella, unknown disease history",1 Dose,States,Texas,2019-20,NReq,398680,99.6,‡.§,,Census
"Varicella, unknown disease history",1 Dose,National,U.S. Median,2019-20,95.3,,,,,NaN
"Varicella, unknown disease history",1 Dose,States,Utah,2019-20,NReq,49208,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,Vermont,2019-20,NReq,6293,100,*,,Census
"Varicella, unknown disease history",1 Dose,States,Virginia,2019-20,NReq,99399,1.2,†,,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Washington,2019-20,NReq,87757,91.9,§,,Census
"Varicella, unknown disease history",1 Dose,States,West Virginia,2019-20,NReq,17114,49.6,¶,,Voluntary response
"Varicella, unknown disease history",1 Dose,States,Wisconsin,2019-20,NReq,67391,2.6,†.‡.§,,Stratified 2-stage cluster sample
"Varicella, unknown disease history",1 Dose,States,Wyoming,2019-20,NReq,7913,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Alabama,2009-10,NReq,75358,100,*. **,,Census
"Varicella, unknown disease history",2 Doses,States,Alaska,2009-10,NA,9641,76.4,,,Voluntary response
"Varicella, unknown disease history",2 Doses,States,Arizona,2009-10,NReq,89287,93.9,,,Census
"Varicella, unknown disease history",2 Doses,States,Arkansas,2009-10,NReq,34733,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,California,2009-10,NReq,507191,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Colorado,2009-10,NA,,,,,Not conducted
"Varicella, unknown disease history",2 Doses,States,Connecticut,2009-10,NReq,46158,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Delaware,2009-10,89.0,11327,9.2,,,Random sample
"Varicella, unknown disease history",2 Doses,States,District of Columbia,2009-10,NA,6092,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Florida,2009-10,91.3,218630,100,≥. * .§,,Census
"Varicella, unknown disease history",2 Doses,States,Georgia,2009-10,99.6,141949,1.2,,,Random sample
"Varicella, unknown disease history",2 Doses,States,Hawaii,2009-10,NReq,18427,6.4,,,Random sample
"Varicella, unknown disease history",2 Doses,States,Idaho,2009-10,NReq,22624,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Illinois,2009-10,NReq,165845,100,,,Census
"Varicella, unknown disease history",2 Doses,States,Indiana,2009-10,NReq,84390,94.7,,,Census
"Varicella, unknown disease history",2 Doses,States,Iowa,2009-10,84.5,42698,100,≥,,Census
"Varicella, unknown disease history",2 Doses,States,Kansas,2009-10,85.3,39073,39.1,†,,Stratified 1-stage sample  (Public);  Census (Private)
"Varicella, unknown disease history",2 Doses,States,Kentucky,2009-10,NReq,56526,92.9,,,Census
"Varicella, unknown disease history",2 Doses,States,Louisiana,2009-10,93.7,53846,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Maine,2009-10,NReq,14162,75.3,,,Voluntary response
"Varicella, unknown disease history",2 Doses,States,Maryland,2009-10,NReq,75061,75,,,Voluntary response
"Varicella, unknown disease history",2 Doses,States,Massachusetts,2009-10,NReq,74476,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Michigan,2009-10,NReq,129810,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Minnesota,2009-10,94.0,70653,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Mississippi,2009-10,99.7,46922,100,≥. *,,Census
"Varicella, unknown disease history",2 Doses,States,Missouri,2009-10,NReq,75958,3,,,Random sample
"Varicella, unknown disease history",2 Doses,States,Montana,2009-10,NReq,12335,98.8,,,Census
"Varicella, unknown disease history",2 Doses,States,Nebraska,2009-10,NReq,29607,96.4,,,Census
"Varicella, unknown disease history",2 Doses,States,Nevada,2009-10,NReq,35209,5.6,,,Random sample
"Varicella, unknown disease history",2 Doses,States,New Hampshire,2009-10,NA,,,,,Not conducted
"Varicella, unknown disease history",2 Doses,States,New Jersey,2009-10,NReq,118347,95.1,,,Census
"Varicella, unknown disease history",2 Doses,States,New Mexico,2009-10,94.9,26318,2.2,,,Random sample
"Varicella, unknown disease history",2 Doses,States,New York,2009-10,NReq,229273,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,North Carolina,2009-10,NReq,116087,96,,,Census
"Varicella, unknown disease history",2 Doses,States,North Dakota,2009-10,89.6,8323,6,¶,,Random sample
"Varicella, unknown disease history",2 Doses,States,Ohio,2009-10,NReq,131137,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Oklahoma,2009-10,NReq,51128,88.9,,,Voluntary response
"Varicella, unknown disease history",2 Doses,States,Oregon,2009-10,NReq,44676,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Pennsylvania,2009-10,NReq,149656,100,*,,Census
"Varicella, unknown disease history",2 Doses,National,United States,2009-10,93.9,,,,,NaN
"Varicella, unknown disease history",2 Doses,States,Rhode Island,2009-10,86.9,11818,11.6,,,Random sample
"Varicella, unknown disease history",2 Doses,States,South Carolina,2009-10,NReq,53725,10.2,,,Random sample
"Varicella, unknown disease history",2 Doses,States,South Dakota,2009-10,97.7,11499,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Tennessee,2009-10,NReq,90811,88.1,,,Voluntary response
"Varicella, unknown disease history",2 Doses,States,Texas,2009-10,96.8,381425,98.3,,,Census
"Varicella, unknown disease history",2 Doses,National,U.S. Median,2009-10,90.3,,,,,NaN
"Varicella, unknown disease history",2 Doses,States,Utah,2009-10,NReq,49957,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Vermont,2009-10,88.2,6713,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Virginia,2009-10,NReq,100891,4.4,,,Random sample
"Varicella, unknown disease history",2 Doses,States,Washington,2009-10,88.6,81511,93.3,,,Census
"Varicella, unknown disease history",2 Doses,States,West Virginia,2009-10,88.4,22730,86.7,,,Voluntary response
"Varicella, unknown disease history",2 Doses,States,Wisconsin,2009-10,90.3,61095,2.3,¶,,Random sample
"Varicella, unknown disease history",2 Doses,States,Wyoming,2009-10,NA,,,,,Not conducted
"Varicella, unknown disease history",2 Doses,States,Alabama,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Alaska,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Arizona,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Arkansas,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,California,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Colorado,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Connecticut,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Delaware,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,District of Columbia,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Florida,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Georgia,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Hawaii,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Idaho,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Illinois,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Indiana,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Iowa,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Kansas,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Kentucky,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Louisiana,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Maine,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Maryland,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Massachusetts,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Michigan,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Minnesota,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Mississippi,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Missouri,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Montana,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Nebraska,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Nevada,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,New Hampshire,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,New Jersey,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,New Mexico,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,New York,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,North Carolina,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,North Dakota,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Ohio,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Oklahoma,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Oregon,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Pennsylvania,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,National,United States,2010-11,NA,,,,,NaN
"Varicella, unknown disease history",2 Doses,States,Rhode Island,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,South Carolina,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,South Dakota,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Tennessee,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Texas,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,National,U.S. Median,2010-11,NA,,,,,NaN
"Varicella, unknown disease history",2 Doses,States,Utah,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Vermont,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Virginia,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Washington,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,West Virginia,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Wisconsin,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Wyoming,2010-11,NA,,,,,NA
"Varicella, unknown disease history",2 Doses,States,Alabama,2011-12,NReq,73190,100,* .**,,Census
"Varicella, unknown disease history",2 Doses,States,Alaska,2011-12,NA,10286,7.3,,,Non-random Cluster Sample
"Varicella, unknown disease history",2 Doses,States,Arizona,2011-12,NReq,88293,96.9,,,Census
"Varicella, unknown disease history",2 Doses,States,Arkansas,2011-12,95.4,38754,92.2,,,Census
"Varicella, unknown disease history",2 Doses,States,California,2011-12,NReq,542544,97.6,,,Census
"Varicella, unknown disease history",2 Doses,States,Colorado,2011-12,84.0,70142,0.5,,,Simple Random Sample
"Varicella, unknown disease history",2 Doses,States,Connecticut,2011-12,97.1,45695,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Delaware,2011-12,96.9,11327,7.4,≥,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,District of Columbia,2011-12,NA,6854,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Florida,2011-12,92.6,225532,100,≥. * .§ ,,Census
"Varicella, unknown disease history",2 Doses,States,Georgia,2011-12,96.6,143065,1.9,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,Hawaii,2011-12,NReq,19443,7.7,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,Idaho,2011-12,85.8,22762,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Illinois,2011-12,NReq,163311,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Indiana,2011-12,91.9,83416,67.5,,,Voluntary Response
"Varicella, unknown disease history",2 Doses,States,Iowa,2011-12,91.1,40978,100,≥. *,,Census
"Varicella, unknown disease history",2 Doses,States,Kansas,2011-12,85.9,38402,52.7,†,,Stratified 1-stage sample  (Public);  Census (Private)
"Varicella, unknown disease history",2 Doses,States,Kentucky,2011-12,NReq,58185,91.8,,,Census
"Varicella, unknown disease history",2 Doses,States,Louisiana,2011-12,97.2,69013,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Maine,2011-12,NReq,13829,97,,,Census
"Varicella, unknown disease history",2 Doses,States,Maryland,2011-12,NReq,72957,67.2,,,Voluntary Response
"Varicella, unknown disease history",2 Doses,States,Massachusetts,2011-12,92.7,79551,97.5,,,Census
"Varicella, unknown disease history",2 Doses,States,Michigan,2011-12,93.2,124962,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Minnesota,2011-12,94.9,71213,99.2,,,Census
"Varicella, unknown disease history",2 Doses,States,Mississippi,2011-12,99.2,44912,100,≥. *,,Census
"Varicella, unknown disease history",2 Doses,States,Missouri,2011-12,95.1,75240,4.7,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,Montana,2011-12,NReq,12128,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Nebraska,2011-12,96.8,26715,96.6,,,Census
"Varicella, unknown disease history",2 Doses,States,Nevada,2011-12,90.3,36557,5.2,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,New Hampshire,2011-12,NA,13022,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,New Jersey,2011-12,NReq,118669,96.6,,,Census
"Varicella, unknown disease history",2 Doses,States,New Mexico,2011-12,94.2,29159,2,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,New York,2011-12,NReq,236016,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,North Carolina,2011-12,NReq,128854,95.4,,,Census
"Varicella, unknown disease history",2 Doses,States,North Dakota,2011-12,88.9,8412,5.8,¶,,Convenient 
"Varicella, unknown disease history",2 Doses,States,Ohio,2011-12,95.4,146144,94.5,,,Convenient 
"Varicella, unknown disease history",2 Doses,States,Oklahoma,2011-12,NReq,52987,90.9,¶,,Census
"Varicella, unknown disease history",2 Doses,States,Oregon,2011-12,NReq,45855,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Pennsylvania,2011-12,85.1,148042,99,,,Census
"Varicella, unknown disease history",2 Doses,National,United States,2011-12,93.7,,,,,NaN
"Varicella, unknown disease history",2 Doses,States,Rhode Island,2011-12,91.3,12552,13.9,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,South Carolina,2011-12,NReq,59307,10.7,,,1-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,South Dakota,2011-12,95.5,12127,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Tennessee,2011-12,97.3,83950,99.9,≥,,Census
"Varicella, unknown disease history",2 Doses,States,Texas,2011-12,99.2,388178,100,*,,Census
"Varicella, unknown disease history",2 Doses,National,U.S. Median,2011-12,92.7,,,,,NaN
"Varicella, unknown disease history",2 Doses,States,Utah,2011-12,NReq,53800,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Vermont,2011-12,90.3,6548,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Virginia,2011-12,90.6,101121,4.3,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,Washington,2011-12,90.4,85134,89.1,,,Voluntary Response
"Varicella, unknown disease history",2 Doses,States,West Virginia,2011-12,88.9,22449,94.9,,,Convenient 
"Varicella, unknown disease history",2 Doses,States,Wisconsin,2011-12,91.0,70672,2.3,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,Wyoming,2011-12,NA,,,,,Not conducted
"Varicella, unknown disease history",2 Doses,States,Alabama,2012-13,NReq,72929,100,* . ‡. **,,Census
"Varicella, unknown disease history",2 Doses,States,Alaska,2012-13,NA,10319,97.8,,,Census
"Varicella, unknown disease history",2 Doses,States,Arizona,2012-13,NReq,90054,97.6,,,Census
"Varicella, unknown disease history",2 Doses,States,Arkansas,2012-13,84.8,43212,96.3,‡,,Census
"Varicella, unknown disease history",2 Doses,States,California,2012-13,NReq,535523,99,‡,,Census
"Varicella, unknown disease history",2 Doses,States,Colorado,2012-13,84.6,70657,0.5,,,Simple Random Sample
"Varicella, unknown disease history",2 Doses,States,Connecticut,2012-13,96.8,41604,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Delaware,2012-13,95.7,11997,7.8,≥,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,District of Columbia,2012-13,NA,7842,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Florida,2012-13,92.1,234628,100,≥. *. §,,Census
"Varicella, unknown disease history",2 Doses,States,Georgia,2012-13,95.1,142732,2.4,≥,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,Hawaii,2012-13,NReq,20104,6.7,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,Idaho,2012-13,86.6,23888,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Illinois,2012-13,NReq,166884,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Indiana,2012-13,93.9,86983,83.4,,,Voluntary Response
"Varicella, unknown disease history",2 Doses,States,Iowa,2012-13,90.5,41701,99.9,≥,,Census
"Varicella, unknown disease history",2 Doses,States,Kansas,2012-13,88.4,40738,31.8,†. ‡,,Stratified 1-stage sample  (Public);  Census (Private)
"Varicella, unknown disease history",2 Doses,States,Kentucky,2012-13,89.5,58466,97.2,‡,,Census
"Varicella, unknown disease history",2 Doses,States,Louisiana,2012-13,96.5,68874,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Maine,2012-13,NReq,14313,94.6,‡,,Census
"Varicella, unknown disease history",2 Doses,States,Maryland,2012-13,NReq,75007,84.3,‡,,Voluntary Response
"Varicella, unknown disease history",2 Doses,States,Massachusetts,2012-13,93.6,79661,97.6,‡,,Census
"Varicella, unknown disease history",2 Doses,States,Michigan,2012-13,92.9,124662,100,*,,Census
"Varicella, unknown disease history",2 Doses,States,Minnesota,2012-13,95.9,73310,100,*. ‡ ,,Census
"Varicella, unknown disease history",2 Doses,States,Mississippi,2012-13,99.9,46595,100,≥. *,,Census
"Varicella, unknown disease history",2 Doses,States,Missouri,2012-13,96.1,78416,5.9,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,Montana,2012-13,NReq,12516,95.8,,,Census
"Varicella, unknown disease history",2 Doses,States,Nebraska,2012-13,94.7,24999,96.6,‡,,Census
"Varicella, unknown disease history",2 Doses,States,Nevada,2012-13,92.2,36070,4.3,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,New Hampshire,2012-13,NA,12943,99.2,,,Census
"Varicella, unknown disease history",2 Doses,States,New Jersey,2012-13,NReq,122516,96.7,‡,,Census
"Varicella, unknown disease history",2 Doses,States,New Mexico,2012-13,94.0,29279,3.3,‡ ,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,New York,2012-13,NReq,239484,100,*. ‡,,Census
"Varicella, unknown disease history",2 Doses,States,North Carolina,2012-13,NReq,130612,97.3,,,Census
"Varicella, unknown disease history",2 Doses,States,North Dakota,2012-13,88.5,9503,4.9,,,2-stage Cluster Sample
"Varicella, unknown disease history",2 Doses,States,Ohio,2012-13,95.7,163687,86.9,,,Census
